Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0767869538456745,0.130679643791146,0.117001328831927,0,0,0,2.01544073009183,0.00342121118023554,7.6215930437138E-20,-6.41720559009519E-19,0.00842121118023554,9.0429788488783E-20,0.00834287663238851,0,0,0,0,0,0,package://robot/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot/meshes/base_link.STL,,base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,-0.0404047213887097,0.0154484736764687,-0.0276170125006411,0,0,0,0.0515137042914562,1.69733943850497E-05,9.62296125977832E-07,6.49740529829731E-08,2.64576821046423E-05,1.35130974809218E-08,2.12644109140584E-05,0,0,0,0,0,0,package://robot/meshes/link1.STL,1,1,1,1,0,0,0,0,0,0,package://robot/meshes/link1.STL,,dizuo2-1,Origin_joint1,基准轴1,joint1,revolute,0.076787,-0.22445,0.10293,3.1416,0,1.4999,base_link,0,0,-1,100,1,-3.14,3.14,,,,,,,,
l11,-0.00424576271186444,0.0005,0.000500000000000014,0,0,0,9.9999999999999E-07,1.66666666666666E-13,3.5759750509846E-30,-4.97771231194458E-28,1.66666666666663E-13,-3.4912381323187E-29,1.66666666666662E-13,0,0,0,0,0,0,package://robot/meshes/l11.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot/meshes/l11.STL,,zuobiaodian-1,Origin_j11,,j11,fixed,-0.022746,0.03,-0.048625,-1.5708,0,-3.1416,link1,0,0,0,,,,,,,,,,,,
l12,-0.00424576271186443,0.000499999999999973,0.0005,0,0,0,9.99999999999991E-07,1.66666666666665E-13,8.08583006419564E-30,-3.38421328339814E-28,1.66666666666665E-13,1.2121848489944E-29,1.66666666666665E-13,0,0,0,0,0,0,package://robot/meshes/l12.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot/meshes/l12.STL,,zuobiaodian-2,Origin_j12,Axis_j12,j12,fixed,-0.0650000000000002,0.0337457627118641,-0.0486249999999999,-1.5707963267949,0,1.5707963267949,link1,0,0,0,,,,,,,,,,,,
l13,-0.0005,0.000500000000000111,-0.000570670988878433,0,0,0,1.00000000000001E-06,1.66666666666669E-13,1.84061188400856E-27,2.34922777574817E-27,1.6666666666667E-13,1.03898364163633E-30,1.6666666666667E-13,0,0,0,0,0,0,package://robot/meshes/l13.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot/meshes/l13.STL,,zuobiaodian-4,Origin_j13,Axis_j13,j13,continuous,-0.0660000000000003,0.0119293290111216,-0.0486249999999999,-1.5707963267949,0,3.14159265358979,link1,0,0,1,,,,,,,,,,,,
l14,-0.00424576271186441,0.000500000000000014,0.000499999999999973,0,0,0,1.00000000000002E-06,1.66666666666672E-13,-5.03882836800957E-31,7.29000328879928E-30,1.66666666666671E-13,2.52435489670724E-29,1.66666666666671E-13,0,0,0,0,0,0,package://robot/meshes/l14.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot/meshes/l14.STL,,zuobiaodian-3,Origin_j14,Axis_j14,j14,fixed,-0.0179999999999998,0.0119999999999997,-0.0448792372881355,3.14159265358979,-1.5707963267949,0,link1,0,0,0,,,,,,,,,,,,
link2,-0.0404047213887095,0.0154484736764683,-0.0273670125006411,0,0,0,0.0515137042914563,1.69733943850497E-05,9.62296125977808E-07,6.49740529829652E-08,2.64576821046424E-05,1.35130974809183E-08,2.12644109140584E-05,0,0,0,0,0,0,package://robot/meshes/link2.STL,1,1,1,1,0,0,0,0,0,0,package://robot/meshes/link2.STL,,dizuo2-2,Origin_joint2,基准轴2,joint2,revolute,-0.085,0,0,0,0,0,link1,0,0,-1,100,1,-3.14,3.14,,,,,,,,
l21,-0.00424576271186439,0.000500000000000028,0.000500000000000056,0,0,0,1E-06,1.66666666666668E-13,1.94577253656323E-28,1.56431117505327E-27,1.66666666666667E-13,9.96287180478988E-29,1.66666666666666E-13,0,0,0,0,0,0,package://robot/meshes/l21.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot/meshes/l21.STL,,zuobiaodian-5,Origin_j21,Axis_j21,j21,fixed,-0.0180000000000003,0.0337457627118644,-0.0483749999999998,-1.5707963267949,0,1.5707963267949,link2,0,0,0,,,,,,,,,,,,
l22,-0.00424576271186439,0.000500000000000028,0.000500000000000014,0,0,0,1.00000000000001E-06,1.66666666666669E-13,-1.45943744114174E-29,2.35080549755862E-27,1.6666666666667E-13,3.04659969061029E-29,1.6666666666667E-13,0,0,0,0,0,0,package://robot/meshes/l22.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot/meshes/l22.STL,,zuobiaodian-6,Origin_j22,Axis_j22,j22,fixed,-0.0697457627118645,0.0299999999999999,-0.0483749999999998,-1.5707963267949,0,-3.14159265358979,link2,0,0,0,,,,,,,,,,,,
l23,-0.00424576271186444,0.000499999999999973,0.000499999999999973,0,0,0,9.99999999999999E-07,1.66666666666665E-13,1.7607375404533E-27,-6.85915040546216E-30,1.66666666666668E-13,-5.40887263464013E-31,1.66666666666666E-13,0,0,0,0,0,0,package://robot/meshes/l23.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot/meshes/l23.STL,,zuobiaodian-8,Origin_j23,Axis_j23,j23,fixed,-0.0697457627118642,0.0119999999999996,-0.0483750000000007,3.14159265358979,0,-3.14159265358979,link2,0,0,0,,,,,,,,,,,,
l24,-0.00424576271184707,0.000499999999973244,0.000500000000000014,0,0,0,1.00000000000001E-06,1.66666666666669E-13,-6.5455506841898E-28,2.05656037991118E-27,1.66666666666671E-13,3.92850989370063E-28,1.66666666666669E-13,0,0,0,0,0,0,package://robot/meshes/l24.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot/meshes/l24.STL,,zuobiaodian-7,Origin_j24,Axis_j24,j24,fixed,-0.0227457627118562,0.0129999999999997,-0.0483750000000177,-1.5707963267949,0,-3.14159265358979,link2,0,0,0,,,,,,,,,,,,
