Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0929824772796388,0.132416934830237,0.0994237041664709,0,0,0,2.0227814568609,0.00342301359659103,-2.85193990350319E-19,-5.72231661845712E-19,0.00842182305506321,-1.243799898626E-19,0.00834408658796838,0,0,0,0,0,0,package://装配体123456/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://装配体123456/meshes/base_link.STL,,base-1;fangzhiduoji-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link11,0.022735,0.01342,-0.022566,0,0,0,0.022388,8.0701E-06,-1.336E-07,6.6565E-08,1.5638E-05,8.026E-09,9.8124E-06,0,0,0,0,0,0,package://装配体123456/meshes/link11.STL,1,1,1,1,0,0,0,0,0,0,package://装配体123456/meshes/link11.STL,,dizuo5-1/dizuo3-yellow-1;fangzhiduoji-4,Origin_joint1,基准轴1,joint1,revolute,0.05545,-0.26912,0.10967,3.1416,0,1.1959,base_link,0,0,0,100,1,-3.14,3.14,,,,,,,,
q1,-0.049713,0.0089553,-0.029857,0,0,0,0.036098,6.2975E-06,-1.2668E-10,-1.2283E-21,1.2296E-05,-6.2585E-22,7.9304E-06,0,0,0,0,0,0,package://装配体123456/meshes/q1.STL,1,1,1,1,0,0,0,0,0,0,package://装配体123456/meshes/q1.STL,,dizuo5-1/qinang-1,Origin_0,,0,fixed,-0.019792,0.042,0.0072325,0,0,-3.1416,link11,0,0,0,,,,,,,,,,,,
link22,0.0227348235433388,0.0134201558793774,-0.0225656345104885,0,0,0,0.0223876958999854,8.07010464456517E-06,-1.33597150798119E-07,6.65648618840538E-08,1.56381969037816E-05,8.02600150685661E-09,9.81236899765543E-06,0,0,0,0,0,0,package://装配体123456/meshes/link22.STL,1,1,1,1,0,0,0,0,0,0,package://装配体123456/meshes/link22.STL,,dizuo5-2/dizuo3-yellow-1;fangzhiduoji-2,Origin_joint2,基准轴2,joint2,revolute,-0.085,0,0.00025,0,0,0,link11,0,0,0,100,1,-3.14,3.14,,,,,,,,
q2,-0.0497134368143054,0.00895534842083825,-0.0298574943306804,0,0,0,0.0360983706758384,6.29746195864372E-06,-1.26676470508592E-10,2.58866381147111E-22,1.22959077376187E-05,1.28797575273635E-21,7.93042079351711E-06,0,0,0,0,0,0,package://装配体123456/meshes/q2.STL,1,1,1,1,0,0,0,0,0,0,package://装配体123456/meshes/q2.STL,,dizuo5-2/qinang-1,Origin_02,Axis_0,0,fixed,-0.0197920275820724,0.041999999999987,0.0072324943306806,0,0,3.14159265358979,link22,0,0,0,,,,,,,,,,,,
link33,0.0227348235433388,0.0134201558793772,-0.0225656345104887,0,0,0,0.0223876958999854,8.07010464456518E-06,-1.33597150798119E-07,6.65648618840536E-08,1.56381969037816E-05,8.02600150679975E-09,9.81236899765545E-06,0,0,0,0,0,0,package://装配体123456/meshes/link33.STL,1,1,1,1,0,0,0,0,0,0,package://装配体123456/meshes/link33.STL,,dizuo5-3/dizuo3-yellow-1;fangzhiduoji-5,Origin_joint3,基准轴3,joint3,revolute,-0.085,0,0.00025,0,0,0,link22,0,0,0,100,1,-3.14,3.14,,,,,,,,
q3,-0.0497134368142956,0.00895534842085119,-0.0298574943306803,0,0,0,0.0360983706758384,6.29746195864373E-06,-1.26676470502451E-10,2.31517534298367E-21,1.22959077376187E-05,-6.32955713172865E-22,7.9304207935171E-06,0,0,0,0,0,0,package://装配体123456/meshes/q3.STL,1,1,1,1,0,0,0,0,0,0,package://装配体123456/meshes/q3.STL,,dizuo5-3/qinang-1,Origin_03,Axis_0,0,fixed,-0.0197920275820626,0.042,0.00723249433068028,0,0,3.14159265358979,link33,0,0,0,,,,,,,,,,,,
link44,0.035461479313839,0.0141129848597041,-0.0225976545807054,0,0,0,0.0150469691309219,6.86014906468923E-06,-1.33597150798132E-07,6.65648618840604E-08,1.38357805482882E-05,8.02600150677876E-09,9.20049416998934E-06,0,0,0,0,0,0,package://装配体123456/meshes/link44.STL,1,1,1,1,0,0,0,0,0,0,package://装配体123456/meshes/link44.STL,,dizuo5-4/dizuo3-yellow-1,Origin_joint4,基准轴4,joint4,revolute,-0.085424,0.002904,0.00025,0,0,-0.040209,link33,0,0,0,100,1,-3.14,3.14,,,,,,,,
q4,-0.0497134368142956,0.00895534842085108,-0.0298574943306804,0,0,0,0.0360983706758384,6.29746195864372E-06,-1.26676470520662E-10,2.56226396942615E-22,1.22959077376187E-05,4.14675524388666E-21,7.93042079351711E-06,0,0,0,0,0,0,package://装配体123456/meshes/q4.STL,1,1,1,1,0,0,0,0,0,0,package://装配体123456/meshes/q4.STL,,dizuo5-4/qinang-1,Origin_04,,0,fixed,-0.019792,0.042,0.0072325,0,0,3.1416,link44,0,0,0,,,,,,,,,,,,
