Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.147142907502603,0.125192776830468,0.0524935147885534,0,0,0,2.0227814568609,0.00342301359659103,8.2889222322327E-20,-7.19775740631599E-19,0.0084218230550632,-1.10423269354815E-19,0.00834408658796838,0,0,0,0,0,0,package://装配体-new.SLDASM/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://装配体-new.SLDASM/meshes/base_link.STL,,base-1;fangzhiduoji-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,-0.044764,0.013522,-0.029852,0,0,0,0.058854,1.8183E-05,9.623E-07,6.4974E-08,2.826E-05,1.3513E-08,2.1876E-05,0,0,0,0,0,0,package://装配体-new.SLDASM/meshes/link1.STL,1,1,1,1,0,0,0,0,0,0,package://装配体-new.SLDASM/meshes/link1.STL,,dizuo2-blue-3;fangzhiduoji-3,Origin_joint1,基准轴2,joint1,revolute,0.14714,-0.15958,0.097186,-3.1416,0,1.5458,base_link,0,0,1,100,1,-3.14,3.14,,,,,,,,
link2,-0.0447636077393088,0.0135216344867146,-0.029602417902065,0,0,0,0.0588544310605198,1.81833499649256E-05,9.62296125977683E-07,6.49740529829543E-08,2.82600984601358E-05,1.35130974808371E-08,2.18762857417246E-05,0,0,0,0,0,0,package://装配体-new.SLDASM/meshes/link2.STL,1,1,1,1,0,0,0,0,0,0,package://装配体-new.SLDASM/meshes/link2.STL,,dizuo2-green-1;fangzhiduoji-4,Origin_joint2,基准轴3,joint2,revolute,-0.085,0,0,0,0,0,link1,0,0,1,100,1,3.14,3.14,,,,,,,,
link3,-0.0447636077393093,0.0135216344867159,-0.029352417902065,0,0,0,0.0588544310605198,1.81833499649256E-05,9.62296125977765E-07,6.49740529829744E-08,2.82600984601357E-05,1.3513097480942E-08,2.18762857417245E-05,0,0,0,0,0,0,package://装配体-new.SLDASM/meshes/link3.STL,1,1,1,1,0,0,0,0,0,0,package://装配体-new.SLDASM/meshes/link3.STL,,dizuo2-pink-2;fangzhiduoji-5,Origin_joint3,基准轴4,joint3,revolute,-0.085,0,0,0,0,0,link2,0,0,1,100,1,-3.14,3.14,,,,,,,,
link4,-0.040405,0.015448,-0.027617,0,0,0,0.051514,1.6973E-05,9.623E-07,6.4974E-08,2.6458E-05,1.3513E-08,2.1264E-05,0,0,0,0,0,0,package://装配体-new.SLDASM/meshes/link4.STL,1,1,1,1,0,0,0,0,0,0,package://装配体-new.SLDASM/meshes/link4.STL,,dizuo2-yellow-3,Origin_joint4,基准轴5,joint4,revolute,-0.085,0,-0.0015,0,0,-0.039959,link3,0,0,1,100,1,-3.14,3.14,,,,,,,,
